,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
363,90.0%,0.25,NAR,0.1610910097848781,0.08706223261902857
364,90.0%,0.25,NCAR,0.12170337226059791,0.08003007537281648
365,90.0%,0.25,NNAR,0.3919090078386367,0.13216269974467074
366,90.0%,0.3,NAR,0.19573783875642267,0.10469007303224054
367,90.0%,0.3,NCAR,0.1692301721028597,0.12300537649210855
368,90.0%,0.3,NNAR,0.48905626855214407,0.10719926114387265
369,90.0%,0.35,NAR,0.27154738310779847,0.13359845944669627
370,90.0%,0.35,NCAR,0.20527093062957044,0.14790859077476962
371,90.0%,0.35,NNAR,0.562048356558449,0.10063711233179606
372,90.0%,0.4,NAR,0.3476591542235667,0.14903853078627163
373,90.0%,0.4,NCAR,0.25039574650849933,0.20748371045307643
374,90.0%,0.4,NNAR,0.6211085531963745,0.08750210365858768
375,90.0%,0.45,NAR,0.431445533477507,0.1505070676956034
376,90.0%,0.45,NCAR,0.2805649307635576,0.24223630431356846
377,90.0%,0.45,NNAR,0.646618138520904,0.07815134392796634
378,90.0%,0.5,NAR,0.5320698675593056,0.17904109702296986
379,90.0%,0.5,NCAR,0.33601652362576134,0.2552580687995924
380,90.0%,0.5,NNAR,0.7015132226657316,0.07196556087266423
381,90.0%,0.55,NAR,0.6669255907668046,0.0892953392348775
382,90.0%,0.55,NCAR,0.36501080916511003,0.24961067689741734
383,90.0%,0.55,NNAR,0.7238288939107457,0.06895888789474877
384,90.0%,0.6,NAR,0.719662105721872,0.07721643486467228
385,90.0%,0.6,NCAR,0.40903933865823533,0.23866027828492037
386,90.0%,0.6,NNAR,0.7587623387102215,0.05572077577461152
387,90.0%,0.65,NAR,0.7636717487283248,0.05884539209379112
388,90.0%,0.65,NCAR,0.4577638967480939,0.21739827979984083
389,90.0%,0.65,NNAR,0.7769761631517518,0.05333425555153848
