,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
296,70.0%,0.4,NNAR,0.12453333333333333,0.07634675131779747
297,70.0%,0.45,NAR,0.16258333333333336,0.092847119738192
298,70.0%,0.45,NCAR,0.1425666666666667,0.10091544201350758
299,70.0%,0.45,NNAR,0.16416666666666668,0.09153229440771289
300,70.0%,0.5,NAR,0.20545,0.0658446905669855
301,70.0%,0.5,NCAR,0.19721666666666665,0.13216295344901996
302,70.0%,0.5,NNAR,0.21178333333333335,0.0982546553545967
303,70.0%,0.55,NAR,0.29975,0.11527154970943088
304,70.0%,0.55,NCAR,0.23495,0.14855594267294822
305,70.0%,0.55,NNAR,0.25151666666666667,0.07129268030006879
306,70.0%,0.6,NAR,0.3783166666666667,0.10084047519117316
307,70.0%,0.6,NCAR,0.3022166666666667,0.17126590957224733
308,70.0%,0.6,NNAR,0.29695,0.09500701879697972
309,70.0%,0.65,NAR,0.4580833333333334,0.1050820765691845
310,70.0%,0.65,NCAR,0.35269999999999996,0.1533907338836975
311,70.0%,0.65,NNAR,0.3986833333333334,0.08230373554740679
312,80.0%,0.05,NAR,0.014150000000000001,0.019953026734359603
313,80.0%,0.05,NCAR,0.0141,0.019007439559832612
314,80.0%,0.05,NNAR,0.011349999999999999,0.021047217032842753
315,80.0%,0.1,NAR,0.02653333333333334,0.03680984063828709
316,80.0%,0.1,NCAR,0.02765,0.033700033254869505
317,80.0%,0.1,NNAR,0.02793333333333333,0.030256014885995962
318,80.0%,0.15,NAR,0.03548333333333333,0.04864535334745602
319,80.0%,0.15,NCAR,0.03808333333333332,0.047031002858593796
320,80.0%,0.15,NNAR,0.03474999999999999,0.037499597698991485
321,80.0%,0.2,NAR,0.04710000000000002,0.05246171017497198
322,80.0%,0.2,NCAR,0.04703333333333333,0.05586157974810614
323,80.0%,0.2,NNAR,0.05286666666666666,0.05588564884768214
324,80.0%,0.25,NAR,0.06238333333333333,0.0672582110528
325,80.0%,0.25,NCAR,0.06548333333333334,0.07392347899772059
326,80.0%,0.25,NNAR,0.07078333333333332,0.07839001556467434
327,80.0%,0.3,NAR,0.08083333333333334,0.08706778308062468
328,80.0%,0.3,NCAR,0.07686666666666668,0.08389596732461778
329,80.0%,0.3,NNAR,0.08306666666666668,0.07868430301038375
330,80.0%,0.35,NAR,0.10148333333333334,0.09100932912897307
331,80.0%,0.35,NCAR,0.09179999999999998,0.09272861776023698
332,80.0%,0.35,NNAR,0.10024999999999999,0.09680408138303773
333,80.0%,0.4,NAR,0.12975,0.08779558448562443
334,80.0%,0.4,NCAR,0.11825000000000001,0.10714401764560343
335,80.0%,0.4,NNAR,0.13828333333333334,0.09189618236539174
336,80.0%,0.45,NAR,0.17840000000000003,0.10291161256145974
337,80.0%,0.45,NCAR,0.1541166666666667,0.11387627007000832
338,80.0%,0.45,NNAR,0.17875000000000002,0.10361073952456659
339,80.0%,0.5,NAR,0.2202833333333333,0.07680760596017386
340,80.0%,0.5,NCAR,0.21415000000000003,0.14202775044529758
341,80.0%,0.5,NNAR,0.22820000000000004,0.10855608752129488
342,80.0%,0.55,NAR,0.3204166666666667,0.11544248331538519
